
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  10796 Services                   0      3,264 K
svchost.exe                  13076 Services                   0      1,360 K
svchost.exe                   2756 Services                   0      1,692 K
svchost.exe                   8668 Services                   0      2,504 K
svchost.exe                   3100 Services                   0      8,992 K
svchost.exe                  17532 Services                   0      1,540 K
svchost.exe                  20232 Services                   0      1,592 K
svchost.exe                  20896 Services                   0      1,632 K
svchost.exe                  21536 Services                   0      1,696 K
svchost.exe                  16120 Services                   0      1,320 K
OfficeClickToRun.exe         20908 Services                   0      9,824 K
SearchIndexer.exe            20156 Services                   0     18,036 K
svchost.exe                  13404 Services                   0      1,608 K
csrss.exe                    28756 Console                    5      2,448 K
winlogon.exe                  6648 Console                    5      1,324 K
fontdrvhost.exe              21832 Console                    5      1,224 K
dwm.exe                      17308 Console                    5     88,780 K
svchost.exe                   4292 Services                   0        996 K
SECOCL64.exe                 16288 Console                    5      1,220 K
conhost.exe                   8496 Console                    5        760 K
ipf_helper.exe               12824 Console                    5      4,048 K
uihost.exe                   26408 Console                    5     11,848 K
sihost.exe                   24332 Console                    5     14,964 K
svchost.exe                   7940 Console                    5     11,244 K
svchost.exe                  19188 Console                    5      1,036 K
svchost.exe                   7360 Console                    5     12,476 K
taskhostw.exe                 4996 Console                    5      7,244 K
taskhostw.exe                16208 Console                    5      6,592 K
OverlayHelper.exe             3224 Console                    5      4,756 K
OmenInstallMonitor.exe       12296 Console                    5      4,584 K
McUICnt.exe                   7104 Console                    5      6,764 K
ETDCtrl.exe                   2788 Console                    5      1,596 K
RtkAudUService64.exe         14304 Console                    5      1,792 K
explorer.exe                  7652 Console                    5   1,68,360 K
ShellHost.exe                12832 Console                    5      5,992 K
CrossDeviceResume.exe          132 Console                    5      4,176 K
svchost.exe                  24492 Console                    5     21,984 K
SearchHost.exe                2524 Console                    5     31,784 K
StartMenuExperienceHost.e     3344 Console                    5     14,012 K
Widgets.exe                  18476 Console                    5     27,228 K
RuntimeBroker.exe            19600 Console                    5     14,724 K
svchost.exe                   3900 Console                    5      4,228 K
RuntimeBroker.exe             1796 Console                    5      5,240 K
WidgetService.exe            27760 Console                    5      2,884 K
msedgewebview2.exe            7968 Console                    5     35,164 K
msedgewebview2.exe            5324 Console                    5      1,776 K
msedgewebview2.exe           25688 Console                    5     10,592 K
msedgewebview2.exe           12492 Console                    5     20,200 K
msedgewebview2.exe           14340 Console                    5      6,264 K
msedgewebview2.exe           15624 Console                    5     67,260 K
ctfmon.exe                   24328 Console                    5     11,944 K
TextInputHost.exe            10276 Console                    5     22,384 K
chrome.exe                   19872 Console                    5   2,46,904 K
chrome.exe                   11048 Console                    5      2,508 K
chrome.exe                   13012 Console                    5   1,53,288 K
chrome.exe                   15716 Console                    5     39,536 K
chrome.exe                   26368 Console                    5      8,984 K
SecurityHealthSystray.exe    15712 Console                    5      1,180 K
ModuleCoreService.exe        25332 Console                    5      5,936 K
conhost.exe                  26700 Console                    5        796 K
RtkAudUService64.exe          9424 Console                    5      2,052 K
OneDrive.exe                 22484 Console                    5     71,012 K
WebexHost.exe                24800 Console                    5      3,244 K
svchost.exe                  28836 Console                    5      6,864 K
ApplicationFrameHost.exe     21376 Console                    5      3,952 K
SystemSettings.exe           15728 Console                    5        244 K
svchost.exe                   1452 Console                    5      1,268 K
UserOOBEBroker.exe            9600 Console                    5        968 K
Postman Agent.exe            11408 Console                    5      8,164 K
Postman Agent.exe            24748 Console                    5      6,720 K
Postman Agent.exe            16028 Console                    5      4,632 K
ms-teams.exe                  5248 Console                    5     20,940 K
RuntimeBroker.exe            28124 Console                    5      1,488 K
msedgewebview2.exe           24008 Console                    5     17,092 K
msedgewebview2.exe            8776 Console                    5      1,784 K
msedgewebview2.exe           23728 Console                    5      7,240 K
msedgewebview2.exe           28132 Console                    5      5,396 K
msedgewebview2.exe           19820 Console                    5      1,748 K
msedgewebview2.exe            8360 Console                    5     20,684 K
CrossDeviceService.exe       29160 Console                    5     13,956 K
RuntimeBroker.exe             4068 Console                    5      1,684 K
msedge.exe                   26196 Console                    5     38,560 K
msedge.exe                   24552 Console                    5      2,460 K
msedge.exe                   12360 Console                    5      8,124 K
msedge.exe                   24088 Console                    5     15,816 K
msedge.exe                   22492 Console                    5      3,636 K
msedge.exe                   24984 Console                    5      5,512 K
cmd.exe                      18156 Console                    5        428 K
cmd.exe                      12664 Console                    5        428 K
conhost.exe                  17472 Console                    5      1,040 K
conhost.exe                  14076 Console                    5      1,044 K
MfeBrowserHost.exe           15928 Console                    5      1,400 K
browserhost.exe               1528 Console                    5      1,288 K
chrome.exe                   25612 Console                    5     13,436 K
chrome.exe                   18200 Console                    5     20,996 K
DesktopExtension.exe         15284 Console                    5      4,868 K
HP.myHP.exe                  28588 Console                    5      5,492 K
AnyDesk.exe                   7004 Console                    5      6,956 K
ExpressVPNNotificationSer    12408 Console                    5      9,648 K
svchost.exe                  15308 Console                    5      3,424 K
asr.exe                      26120 Console                    5   1,70,508 K
ONENOTEM.EXE                 28492 Console                    5      1,476 K
AppActions.exe               19788 Console                    5      3,960 K
HPSystemEventUtilityBackg    29640 Console                    5      8,080 K
unsecapp.exe                 13328 Console                    5      4,804 K
HPMediaNetwork.exe           27092 Console                    5     14,616 K
HPSystemEventUtilityHost.    13504 Console                    5      4,840 K
OmenCommandCenterBackgrou    21636 Console                    5   1,33,732 K
WhatsApp.exe                  8928 Console                    5     25,120 K
RuntimeBroker.exe            27488 Console                    5     18,972 K
SDXHelper.exe                19504 Console                    5     12,536 K
FileCoAuth.exe               27796 Console                    5     15,844 K
msedge.exe                   24616 Console                    5      3,468 K
WmiPrvSE.exe                 20360 Services                   0     13,528 K
LockApp.exe                  28028 Console                    5         64 K
RuntimeBroker.exe            14156 Console                    5     10,732 K
audiodg.exe                  26524 Services                   0     20,640 K
chrome.exe                   24160 Console                    5   3,71,344 K
msedge.exe                     696 Console                    5      5,696 K
backgroundTaskHost.exe       16868 Console                    5      5,284 K
RuntimeBroker.exe            21572 Console                    5      1,468 K
svchost.exe                  23408 Console                    5      1,260 K
chrome.exe                   17772 Console                    5   5,33,636 K
Code.exe                     19560 Console                    5     71,320 K
Code.exe                      1348 Console                    5      3,112 K
Code.exe                      8716 Console                    5   1,56,796 K
Code.exe                     29728 Console                    5     11,988 K
Code.exe                      4004 Console                    5   2,88,956 K
Code.exe                     28104 Console                    5     91,244 K
Code.exe                     21348 Console                    5     25,264 K
Code.exe                     12336 Console                    5     20,960 K
Code.exe                     21964 Console                    5     50,216 K
conhost.exe                   8104 Console                    5      1,360 K
cmd.exe                      13744 Console                    5        436 K
Code.exe                      5368 Console                    5      8,644 K
Code.exe                     29412 Console                    5     52,596 K
Code.exe                     17580 Console                    5      5,292 K
Microsoft.SharePoint.exe     25556 Console                    5      2,684 K
QcShm.exe                    28112 Services                   0      1,588 K
chrome.exe                   12180 Console                    5   1,84,564 K
chrome.exe                   28648 Console                    5   4,03,340 K
chrome.exe                   27880 Console                    5     38,140 K
chrome.exe                   28456 Console                    5     25,368 K
conhost.exe                   5816 Console                    5      2,792 K
cmd.exe                      22820 Console                    5      1,436 K
conhost.exe                  27616 Console                    5      3,740 K
cmd.exe                      24200 Console                    5      2,212 K
chrome.exe                    2368 Console                    5   1,89,824 K
chrome.exe                   24188 Console                    5   1,16,572 K
chrome.exe                   30360 Console                    5   1,07,844 K
chrome.exe                    8000 Console                    5     78,880 K
chrome.exe                   10832 Console                    5     71,584 K
svchost.exe                   3020 Services                   0      9,496 K
chrome.exe                   27408 Console                    5     29,188 K
conhost.exe                   2496 Console                    5      8,052 K
bash.exe                      2584 Console                    5      6,908 K
bash.exe                     23636 Console                    5     13,540 K
dllhost.exe                  29592 Console                    5      9,716 K
bash.exe                     17904 Console                    5     10,584 K
bash.exe                     10120 Console                    5      8,544 K
tasklist.exe                 29132 Console                    5     13,076 K
